파일명,패키지,버전,Python,ABI,플랫폼,크기(KB)
nvidia_cufft_cu12-11.3.3.83-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl,nvidia-cufft-cu12,11.3.3.83,py3,none,manylinux_2_17_x86_64,188592.48
nvidia_cufile_cu12-1.13.1.3-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl,nvidia-cufile-cu12,1.13.1.3,py3,none,manylinux_2_17_x86_64,1169.76
nvidia_curand_cu12-10.3.9.90-py3-none-manylinux_2_27_x86_64.whl,nvidia-curand-cu12,10.3.9.90,py3,none,manylinux_2_27_x86_64,62128.88
nvidia_cusolver_cu12-11.7.3.90-py3-none-manylinux_2_27_x86_64.whl,nvidia-cusolver-cu12,11.7.3.90,py3,none,manylinux_2_27_x86_64,261237.21
nvidia_cusparse_cu12-12.5.8.93-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl,nvidia-cusparse-cu12,12.5.8.93,py3,none,manylinux_2_17_x86_64,281461.39
nvidia_cusparselt_cu12-0.7.1-py3-none-manylinux2014_x86_64.whl,nvidia-cusparselt-cu12,0.7.1,py3,none,manylinux2014_x86_64,280462.59
nvidia_nccl_cu12-2.27.3-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl,nvidia-nccl-cu12,2.27.3,py3,none,manylinux_2_17_x86_64,314808.72
nvidia_nvjitlink_cu12-12.8.93-py3-none-manylinux2010_x86_64.manylinux_2_12_x86_64.whl,nvidia-nvjitlink-cu12,12.8.93,py3,none,manylinux2010_x86_64,38334.8
nvidia_nvtx_cu12-12.8.90-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl,nvidia-nvtx-cu12,12.8.90,py3,none,manylinux_2_17_x86_64,87.85
openai_harmony-0.0.8-cp38-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,openai-harmony,0.0.8,cp38,abi3,manylinux2014_x86_64,2884.04
